huc10,areasqkm,sum,majority,range,mean,std,min,percentile_10,percentile_25,median,percentile_75,percentile_90,max
0507020303,580.98,48124544.0,20.602876663208008,25.435189962387085,7.323437886386341,2.0674558705250616,3.8452322483062744,5.553826713562012,6.1269612312316895,6.890386581420898,7.860781669616699,9.355428695678711,29.28042221069336
0509010110,466.16,41993796.0,16.601938247680664,32.14661884307861,7.990378923594033,2.567668906644026,4.087054252624512,6.033522701263427,6.617796897888184,7.361123561859131,8.43369197845459,10.239356613159181,36.233673095703125
0510010111,834.17,76103824.0,7.026302337646484,33.93823957443237,8.08633261696914,1.8796737076844945,4.132343769073486,6.545264387130738,7.0941396951675415,7.710566997528076,8.487387657165527,9.681609821319581,38.07058334350586
0510010113,485.27,45545620.0,8.050444602966309,35.058186054229736,8.323270740460394,2.2147766917304232,4.0676493644714355,6.585195159912109,7.158278942108154,7.819278717041016,8.711483001708984,10.387410163879395,39.12583541870117
0509020302,293.77,31304594.0,20.933727264404297,35.89275121688843,9.468144972623534,4.117604613389823,4.2820916175842285,6.65042724609375,7.296341896057129,8.21313762664795,9.717801570892334,13.260255241394042,40.174842834472656
0601020604,1018.64,94838456.0,8.659995079040527,34.303189754486084,8.264044529669397,3.1640281406663098,2.8379616737365723,6.131824636459351,6.78906786441803,7.5269455909729,8.47534441947937,10.390813541412355,37.141151428222656
0601020603,683.12,60666436.0,8.055707931518555,28.723161935806274,7.874061095764565,1.9336492696731788,3.239885091781616,6.115461444854736,6.758581161499023,7.50103235244751,8.413276672363281,9.874321365356444,31.96304702758789
0601020601,397.42,33696168.0,5.976237773895264,27.57381510734558,7.513891800140751,2.046306169838408,3.4412662982940674,5.663404703140259,6.256184458732605,7.040143013000488,8.141397476196289,9.81381607055664,31.01508140563965
0510020507,895.65,89042144.0,8.007285118103027,36.30378460884094,8.81679063082103,2.02595992056211,3.2697856426239014,6.9916651248931885,7.637963652610779,8.436429977416992,9.42103099822998,10.874190330505371,39.573570251464844
0511000304,329.4,33545772.0,8.186649322509766,29.517859935760498,9.03689132704685,2.6375658527300354,4.3328328132629395,6.8433356285095215,7.471964359283447,8.332917213439941,9.704814910888672,11.963479232788085,33.85069274902344
0511000602,565.63,55867204.0,8.504827499389648,30.10312032699585,8.768599716226566,2.16870935214061,4.039236545562744,6.80824990272522,7.478997826576233,8.30518913269043,9.414132356643677,11.04730157852173,34.142356872558594
0507020103,973.4,78440400.0,5.992569923400879,26.96019697189331,7.135668618473737,1.8590346868486156,3.688011646270752,5.488889598846436,6.03781533241272,6.774979114532471,7.6595823764801025,9.015949058532719,30.648208618164062
0509020308,572.18,57581092.0,20.924203872680664,32.08420419692993,8.938845361528921,3.5147067204003033,4.126702785491943,6.574103784561157,7.149787187576294,7.916363716125488,9.240598440170288,11.928957462310795,36.210906982421875
0511000106,682.05,65051956.0,8.057394027709961,30.483415126800537,8.464332142637339,2.07857116867919,4.065317630767822,6.6309404373168945,7.23862361907959,7.99939489364624,9.05403995513916,10.683086395263672,34.54873275756836
0511000402,380.07,37396340.0,20.901552200317383,28.94706678390503,8.734130178835972,2.041854486818552,4.209923267364502,6.876479530334473,7.53094482421875,8.33043384552002,9.373398780822754,10.823529052734376,33.15699005126953
0510020107,610.08,50942696.0,6.3189802169799805,32.14216327667236,7.3934026879271135,1.9255250324976534,3.6250524520874023,5.804112434387207,6.341043472290039,7.008243560791016,7.807872295379639,9.08913516998291,35.767215728759766
0604000605,391.68,49428404.0,21.247892379760742,34.256537437438965,11.187850367232732,5.023422863541636,4.585843086242676,7.395656394958496,8.132724285125732,9.259984970092773,11.778532981872559,21.22806663513184,38.84238052368164
0511000601,214.38,21729682.0,8.004936218261719,30.18161153793335,8.990166525309778,2.3439009169868257,4.085337162017822,6.8579426288604735,7.555166721343994,8.476842880249023,9.722485303878784,11.572357177734375,34.26694869995117
0509020101,655.48,55147604.0,7.073453426361084,27.1324725151062,7.451032698551627,1.8936514575298464,4.2648606300354,5.855732727050781,6.407007217407227,7.077325820922852,7.853691101074219,9.171132469177246,31.3973331451416
0511000401,555.11,54182740.0,8.131258010864258,26.077463626861572,8.664850519696826,1.9428553360888545,4.073537349700928,6.829411411285401,7.465332984924316,8.263716697692871,9.348858833312988,10.847628021240237,30.1510009765625
0511000101,1015.14,96932224.0,8.538093566894531,32.714741945266724,8.47377647961611,2.4968867149117826,3.9644229412078857,6.459024572372437,7.101863980293274,7.8927693367004395,8.991073608398438,10.875930690765381,36.67916488647461
0507020305,551.91,46101164.0,6.4012064933776855,28.967287063598633,7.386403112785605,1.9858442842579043,3.832796096801758,5.689533519744873,6.242318630218506,6.970541477203369,7.88578462600708,9.331184005737306,32.80008316040039
0507020301,621.96,50620408.0,6.295334815979004,25.16286301612854,7.20271202261252,1.889306404388161,3.8206441402435303,5.516904067993164,6.078620910644531,6.826751708984375,7.765512943267822,9.148746299743653,28.98350715637207
0507020304,437.26,36190768.0,6.23106575012207,31.456180095672607,7.321911878745724,2.2126540427843784,3.8424344062805176,5.649666786193848,6.1548004150390625,6.821585655212402,7.6860010623931885,9.180628013610837,35.298614501953125
