huc10,areasqkm,sum,majority,range,mean,std,min,percentile_10,percentile_25,median,percentile_75,percentile_90,max
0507020303,580.98,2847529728.0,196.25,588.3758239746094,351.02433044734147,92.96213586888312,176.62020874023438,237.4240478515625,281.7378616333008,340.58343505859375,408.1521911621094,476.5112701416016,764.9960327148438
0509010110,466.16,1477698432.0,158.16000366210938,164.45530700683594,228.72227155493388,34.84623644307123,157.02354431152344,177.37730102539064,202.3692626953125,231.720458984375,256.2125244140625,272.7327514648438,321.4788513183594
0510010111,834.17,2884533504.0,170.9927978515625,155.51858520507812,248.27671571032397,28.680584034987923,165.05935668945312,209.66529693603516,228.91162872314453,250.2861328125,271.0130310058594,283.60247802734375,320.57794189453125
0510010113,485.27,1561292800.0,144.47547912597656,157.7308349609375,231.12010351528298,37.683819152986224,140.59487915039062,162.4794464111328,209.51940155029297,243.27688598632812,259.6908264160156,270.2209777832031,298.3257141113281
0509020302,293.77,897677248.0,139.2938690185547,150.28472900390625,220.72460287251693,45.7704816839188,139.14263916015625,147.28462982177734,174.0947723388672,239.23411560058594,258.5604934692383,268.4639129638672,289.4273681640625
0601020604,1018.64,6033464320.0,305.6387939453125,765.9346923828125,426.42611667090375,83.20292544470537,303.8084716796875,335.74602661132815,374.02703857421875,416.8271179199219,464.7175598144531,508.23406372070326,1069.7431640625
0601020603,683.12,4686632448.0,410.6099853515625,623.4075317382812,493.37242106632806,81.96925932148085,348.2406005859375,406.734814453125,439.3943786621094,481.86492919921875,523.2152709960938,592.6599487304688,971.6481323242188
0601020601,397.42,4078172928.0,949.2000122070312,843.4325866699219,737.590036337158,160.4346718195261,440.6628723144531,537.9810180664062,628.5790405273438,708.747802734375,832.6378784179688,989.1270141601562,1284.095458984375
0510020507,895.65,3132379648.0,283.4639892578125,187.16441345214844,251.24791779060817,31.81155167792768,138.7297821044922,212.5790023803711,238.010498046875,256.8470764160156,272.35479736328125,283.9852294921875,325.8941955566406
0511000304,329.4,675521280.0,118.96977233886719,138.77220916748047,147.41500063503204,20.31433568224779,92.4890365600586,123.72813415527344,131.64484024047852,144.57192993164062,159.33153915405273,174.77847290039062,231.26124572753906
0511000602,565.63,1392113024.0,141.19000244140625,168.3208999633789,176.99393145729064,31.625861204919794,116.4922103881836,133.10448303222657,151.8629913330078,176.8248748779297,200.58100128173828,220.10440368652345,284.8131103515625
0507020103,973.4,5926243840.0,420.55999755859375,573.3565063476562,437.2741014372194,99.49012794677816,191.6395263671875,303.0789001464844,368.3850402832031,439.49688720703125,507.8490295410156,566.5810119628907,764.9960327148438
0509020308,572.18,1749228032.0,138.6842803955078,156.9249725341797,220.39842588755502,43.29813742793034,137.2069549560547,146.61500549316406,185.99940490722656,234.6437530517578,255.0598907470703,266.8209228515625,294.1319274902344
0511000106,682.05,2381096704.0,292.6080017089844,211.54124450683594,250.96814899798633,33.15294917067888,149.1171417236328,209.2368957519531,229.3878936767578,250.63656616210938,275.043212890625,294.0259155273437,360.65838623046875
0511000402,380.07,1092943104.0,145.69468688964844,131.27493286132812,206.77655164271994,24.908263868009843,145.21051025390625,172.3130630493164,189.55736923217773,208.42205810546875,225.9098243713379,237.78336639404296,276.4854431152344
0510020107,610.08,2556039168.0,189.89039611816406,294.6028594970703,300.50286055293793,41.98156904237927,189.1246795654297,243.15400085449218,272.6726989746094,302.2962951660156,329.7878723144531,353.25372314453125,483.7275390625
0604000605,391.68,624028736.0,103.63200378417969,113.4751205444336,114.42264715972611,13.759550357301334,62.86016082763672,99.50325775146484,103.63200378417969,109.92268371582031,123.97905731201172,135.90698852539063,176.3352813720703
0511000601,214.38,495745920.0,132.0500030517578,142.52135467529297,166.15830131359147,26.926535313233074,120.75150299072266,129.7567138671875,143.85064697265625,166.67433166503906,184.40931701660156,202.40856170654297,263.2728576660156
0509020101,655.48,2680638208.0,162.72999572753906,280.4803924560547,293.3807936709627,50.47918872501287,149.28929138183594,220.14227294921875,260.4360656738281,301.3122863769531,330.9402160644531,351.4994812011719,429.7696838378906
