huc10,areasqkm,count,mean,std,percentile_10
0507020303,580.98,8112058,351.02433044734147,92.96213586888312,237.4240478515625
0509010110,466.16,6460667,228.72227155493388,34.84623644307123,177.37730102539064
0510010111,834.17,11618220,248.27671571032397,28.680584034987923,209.66529693603516
0510010113,485.27,6755331,231.12010351528298,37.683819152986224,162.4794464111328
0509020302,293.77,4066956,220.72460287251693,45.7704816839188,147.28462982177734
0601020604,1018.64,14148909,426.42611667090375,83.20292544470537,335.74602661132815
0601020603,683.12,9499178,493.37242106632806,81.96925932148085,406.734814453125
0601020601,397.42,5529051,737.590036337158,160.4346718195261,537.9810180664062
0510020507,895.65,12467286,251.24791779060817,31.81155167792768,212.5790023803711
0511000304,329.4,4582446,147.41500063503204,20.31433568224779,123.72813415527344
0511000602,565.63,7865315,176.99393145729064,31.625861204919794,133.10448303222657
0507020103,973.4,13552698,437.2741014372194,99.49012794677816,303.0789001464844
0509020308,572.18,7936663,220.39842588755502,43.29813742793034,146.61500549316406
0511000106,682.05,9487645,250.96814899798633,33.15294917067888,209.2368957519531
0511000402,380.07,5285624,206.77655164271994,24.908263868009843,172.3130630493164
0510020107,610.08,8505873,300.50286055293793,41.98156904237927,243.15400085449218
0604000605,391.68,5453717,114.42264715972611,13.759550357301334,99.50325775146484
0511000601,214.38,2983576,166.15830131359147,26.926535313233074,129.7567138671875
0509020101,655.48,9137061,293.3807936709627,50.47918872501287,220.14227294921875
0511000401,555.11,7719689,219.04620458155762,22.305706671669807,189.99805908203126
0511000101,1015.14,14122157,308.57253775043006,40.38071716920505,252.933935546875
0507020305,551.91,7704645,254.65016493297225,45.7719402766151,191.468994140625
0507020301,621.96,8676238,374.37323595779645,95.51528214147037,247.24422454833984
0507020304,437.26,6101677,288.26580495821065,44.785778909993574,228.35564270019532
0507020401,269.16,3756506,276.78026336175157,32.68808136650992,231.48712921142578
0507020403,248.25,3467639,246.79636605771248,37.515240989839945,195.27433166503909
0507020202,418.12,5828009,453.83621336205897,105.75692417017866,307.452587890625
0507020404,377.31,5248854,227.4603271495073,36.71148366778205,175.86714630126954
0510010112,750.72,10450995,232.96843984711504,31.72283996817214,187.17698669433594
0510010109,249.93,3485102,264.4920280668973,21.465043513954328,237.60610961914062
0510010204,635.97,8852985,251.62835811875883,19.69541775826414,224.69743957519532
0510010205,357.4,4976849,233.019432174856,26.334157373450477,196.2990692138672
0510020101,485.15,6768289,488.1239887953957,90.158964546215,384.19671630859375
0510020102,221.32,3089783,441.030904759331,69.95519066326993,347.2150451660156
0510020103,669.55,9338544,460.3417817595548,100.3410648163698,333.83432922363284
0510020104,279.01,3892794,343.5609405480999,54.19941540007234,264.7760498046875
0510020105,637.32,8886517,381.02685945460973,60.071077758029546,300.43877563476565
0510020401,355.5,4956912,320.37840332852386,41.74485470072542,264.8657257080078
0510020402,769.32,10721969,327.82501646852364,41.87685345925774,273.6618347167969
0510020305,185.1,2582000,326.81800774593336,38.423058357930714,272.7730377197266
0510020306,328.97,4586683,300.28067952374295,49.022724464552795,233.2648498535156
0507020205,582.56,8100821,603.512115130059,102.3845294250451,493.798095703125
0507020105,515.03,7179805,327.4702953631749,70.4409024661785,235.47735595703125
0507020402,168.27,2350767,259.0106395061697,36.120291763846694,208.558203125
0510020201,238.68,3330553,442.5782937548209,86.28052471167399,326.76958618164065
0510020504,515.83,7181415,313.94220331229985,35.29434015199543,274.6587219238281
0514020601,260.41,3625454,107.87478533722948,13.290621795312175,95.61764526367188
0514020602,182.0,2524947,124.93376534240124,19.9559647964,102.57244110107422
0514010109,547.81,7600026,159.5319847589995,33.41024518453474,131.21532440185547
0514010410,448.76,6217325,184.37799535974074,35.28884762106024,127.10555572509766
0514010414,345.48,4790096,174.03072339260007,37.481791818350885,121.98686218261719
0514020107,295.35,4090029,132.80068576530874,16.28141844388956,116.6456787109375
0514020108,239.73,3330896,128.1046204985085,13.1028019308258,115.44594192504883
0514020504,269.12,3744874,128.98982876326414,16.89810190385464,110.19204177856446
0514010401,553.82,7694884,208.97510189887203,32.1682836738496,156.0094024658203
0514020112,274.13,3802423,119.3497767081674,8.771835374901295,109.56232452392578
0514020106,293.81,4088081,148.13265784117291,21.917030136166847,121.837646484375
0514020206,420.57,5830892,114.88348883841444,10.542503712369498,106.19999694824219
0514010103,431.72,5981203,218.8634547264154,46.643665933928084,137.51884765625
0514020607,514.2,7136051,106.5788616140776,13.44344125484822,90.6868667602539
0514010301,709.77,9876539,250.1565149492145,27.57184356711788,217.42681884765625
0514010302,416.81,5801089,250.98587937540694,25.703099005270328,217.03154602050782
0514010105,278.68,3879372,219.74636307113624,27.690212892821002,184.01419219970703
0514010106,439.65,6100975,190.56903134335087,38.70488410347685,132.59970092773438
0514010205,324.36,4515478,231.7629947482858,30.18723384562278,192.30921478271483
0514010211,226.2,3148196,167.71723234512717,35.22167480276481,134.11183166503906
0514010212,327.19,4553516,172.0257313249805,36.44392430039043,137.43012237548828
0514010213,222.95,3104212,201.955320061903,37.56789040190699,135.84610443115236
0514020301,167.89,2338604,115.67264573224026,15.557073084383136,102.5886116027832
0514010303,822.37,11438081,209.28346424544466,34.108234741026806,159.37254333496094
0514010306,388.32,5401982,179.93169470020447,40.647480294242065,134.22450408935546
0514020102,420.31,5839378,159.12947440634943,30.263959868199674,120.8292007446289
0514020204,470.31,6534479,122.24069646562488,10.45728047983168,110.65744018554688
0514020302,195.28,2719094,124.38940911936108,14.151780478609407,109.6811149597168
0514020304,171.82,2393226,138.4739493888166,23.069287150802097,109.17244338989258
0514020505,406.49,5654997,128.20691646697603,22.2211209240581,108.56981658935547
0514020205,387.02,5382488,128.6307387958877,12.26844437519465,114.4911018371582
0514020502,515.98,7173872,131.10182506741128,16.067892920025443,112.03656845092773
0514010101,345.11,4803802,244.95946502374576,30.766940171647434,203.3765899658203
0514020207,453.74,6306227,115.30898078993985,11.093005699179066,105.19691467285156
0514020501,443.71,6171051,165.2585920939561,27.238231902241132,130.64686584472656
0514020503,806.58,11214633,145.26968827245616,25.515164488854353,112.36552734375
0514020603,197.06,2743681,123.98774347309326,14.81666682751846,103.02611541748047
0514020606,272.83,3798470,116.90019613160035,14.34222916494661,98.7509765625
0514010201,421.18,5867457,260.670250842912,22.368896332829127,237.19684753417968
0514010304,619.24,8616160,282.25300180126646,51.8267261160005,215.64669952392578
0514010305,797.71,11094846,210.1769329650903,44.812140475692466,150.7500457763672
0514020303,509.04,7080664,142.24108699410112,29.437200042520043,103.34159851074219
0514020407,506.28,7022529,132.30427271998448,31.52564630237091,107.26302947998047
0514020305,229.75,3200783,141.1355259010061,26.749377663442353,104.28096313476563
0514020307,290.13,4023578,149.12224691555625,32.31311999972724,104.01692962646484
0514020309,332.16,4615714,134.98226969868583,28.601342311901455,99.83053817749024
0514010202,168.24,2343073,229.87878909449256,21.297969840549076,201.01435546875
0514010203,341.96,4759354,223.4147777198334,24.1312086810358,188.8365676879883
0514010204,354.6,4933647,241.1637022267706,14.99730160533793,221.52000427246094
0514010206,149.0,2075180,217.4499445831205,18.392952919701823,195.96759033203125
0514010207,263.62,3668618,201.57505850977125,21.777276585409897,172.68147888183594
0514010208,445.12,6192419,221.63639249863422,21.654742507554175,194.40109252929688
0514010209,270.66,3769211,193.11325579809673,29.470734020684933,143.18109130859375
0514010210,290.4,4042243,188.4882388317575,24.288018086189258,152.72814025878907
0510010101,605.15,8440163,338.43562499918545,40.827821672101656,284.56867065429685
0510010103,259.93,3625746,313.4039372862854,35.8706261150387,263.2798767089844
0601020602,352.76,4917297,599.5452542321524,118.04402358206673,457.7970031738281
0513010306,836.08,11630123,261.03872229038336,43.80433801443628,195.53465270996094
0513010303,469.2,6532450,318.7413090035132,41.52106727095735,258.04295349121094
0513010305,612.44,8521118,341.5334598112595,69.85632148882992,268.6312774658203
0513010307,979.59,13617144,235.39918326486082,42.36068784809641,177.0581298828125
0513010103,964.85,13443013,430.7998035856991,101.74765195039562,315.284521484375
0513010104,462.85,6448496,371.02956348270976,72.97777892535994,296.6239929199219
0513010107,611.97,8519073,403.8468016414462,96.91990344145825,306.2426818847656
