huc10,areasqkm,sum,majority,range,mean,std,min,percentile_10,percentile_25,median,percentile_75,percentile_90,max
0507020303,580.98,-1731.3182373046875,1.5724398849670251e-07,0.21548835933208466,-0.0002634664252084917,0.007381778655271866,-0.1340930014848709,-0.0077904236502945425,-0.0035360478796064854,-0.00024307487183250487,0.0029911312740296125,0.0073235558345913915,0.08139535784721375
0509010110,466.16,-1437.5626220703125,1.5722530122275202e-07,0.1129557341337204,-0.0002747329897177535,0.006156056764457789,-0.058525681495666504,-0.007533811032772064,-0.003081717062741518,2.3263312698418304e-07,0.003107759403064847,0.006553536746650934,0.054430052638053894
0510010111,834.17,-1729.3028564453125,0.0013643052661791444,0.12041463702917099,-0.00018374527530563552,0.004643878682322853,-0.07261918485164642,-0.005813441425561905,-0.001819898490794003,0.0003789055917877704,0.002299972402397543,0.004547985224053267,0.04779545217752457
0510010113,485.27,-668.7975463867188,1.5721195723017445e-07,0.11100602522492409,-0.00012221994231568877,0.004325873493224546,-0.061929717659950256,-0.005061502102762462,-0.0016534824681002647,0.00027993772528134286,0.0020768974791280925,0.004127412522211673,0.04907630756497383
0509020302,293.77,-315.9164733886719,1.572091150592314e-07,0.0924089327454567,-9.591371597500116e-05,0.004333301488660679,-0.048343922942876816,-0.004558231215924025,-0.001527866581454873,1.5721600732376828e-07,0.0017192027298733592,0.004268082231283188,0.04406500980257988
0601020604,1018.64,-2653.2841796875,1.5727859192793403e-07,0.18483866751194,-0.00023167100021885456,0.004957465627185401,-0.09107737243175507,-0.005223933607339859,-0.0018155619036406279,0.00015492027159780264,0.0021619604667648673,0.004377301782369614,0.09376129508018494
0601020603,683.12,-1770.879638671875,-0.003943536430597305,0.15157373994588852,-0.00023025948388618545,0.004980908198486061,-0.06557583063840866,-0.005258542066439986,-0.0019654830102808774,0.00017288891831412911,0.002102009777445346,0.004373189806938173,0.08599790930747986
0601020601,397.42,-1026.9840087890625,1.5724853597021138e-07,0.1880272924900055,-0.00022946250839027253,0.007574638244985483,-0.0888005942106247,-0.008486954495310783,-0.0034100664779543877,-0.0001406552328262478,0.0030752280727028847,0.008094372227787971,0.0992266982793808
0510020507,895.65,-720.2943115234375,-0.0020168006885796785,0.1691378727555275,-7.132222846378822e-05,0.003897913586838901,-0.09763823449611664,-0.0028395201079547405,-0.0008488178282277659,0.00014996294339653105,0.0012235500325914472,0.0028730268822982907,0.07149963825941086
0511000304,329.4,-697.0485229492188,1.5725778723663097e-07,0.08363405242562294,-0.00018777781449091745,0.0035397408749922718,-0.04826594144105911,-0.0036870661424472924,-0.0013256125093903393,-7.689425547141582e-05,0.0011272931878920645,0.00322006947826594,0.03536811098456383
0511000602,565.63,-734.3027954101562,1.5726303104202088e-07,0.0964864194393158,-0.00011525200515597435,0.003434346455210974,-0.05391637608408928,-0.0034297237871214747,-0.0010696715326048434,2.2931497369427234e-05,0.0011757907923310995,0.003105656290426852,0.04257004335522652
0507020103,973.4,-2763.93408203125,-0.00896899402141571,0.1680869534611702,-0.0002519130060966634,0.007590931892988656,-0.07720940560102463,-0.007936801295727491,-0.0033852202468551695,-0.00034967478131875396,0.002771657658740878,0.007666548294946551,0.09087754786014557
0509020308,572.18,-772.9815673828125,1.5721272461632907e-07,0.10681638494133949,-0.00012024394194596244,0.004325859980385106,-0.05337662249803543,-0.004833931569010019,-0.0015224830713123083,0.0001150864627561532,0.001973312348127365,0.004131145682185892,0.05343976244330406
0511000106,682.05,-1005.0552368164062,1.5725997570825712e-07,0.12373105809092522,-0.00013077425905703882,0.004475620156206476,-0.06829587370157242,-0.0047381166368722916,-0.001443497370928526,0.00011198776337550953,0.0018205923261120915,0.004334009252488613,0.0554351843893528
0511000402,380.07,-290.3033752441406,1.5724931756722071e-07,0.11977269500494003,-6.780202208926843e-05,0.003544675327646861,-0.05138774961233139,-0.00322669199667871,-0.0009398450492881238,7.517248013755307e-05,0.001160438871011138,0.0030620638281106958,0.06838494539260864
0510020107,610.08,-2885.380859375,-0.005737101659178734,0.16702833026647568,-0.00041876037737375676,0.0076005800123066175,-0.07483235746622086,-0.008966186083853245,-0.0034414709080010653,-0.00010539981303736567,0.003073975443840027,0.00751192681491375,0.09219597280025482
0604000605,391.68,-289.27252197265625,1.57264821609715e-07,0.07038731500506401,-6.547526177827066e-05,0.0021977454638080146,-0.038605041801929474,-0.0020743183325976134,-0.0006411451031453907,1.572644521274924e-07,0.0006309479649644345,0.0019030639203265322,0.03178227320313454
0511000601,214.38,-282.4283142089844,1.5726109836577962e-07,0.10427945107221603,-0.0001168483540716925,0.0032520701681637335,-0.060303378850221634,-0.003132934495806694,-0.0009329081076430157,-8.975025025392824e-07,0.0009536554716760293,0.0027764408616349104,0.0439760722219944
0509020101,655.48,-3008.001708984375,-0.002981852972880006,0.10807813331484795,-0.0004064132884348294,0.007179967425970169,-0.057417333126068115,-0.007892712578177452,-0.002501077251508832,3.74078044842463e-05,0.0025845817290246487,0.006435154750943185,0.05066080018877983
0511000401,555.11,-192.14634704589844,-0.0011198559077456594,0.13086845353245735,-3.0727854941601325e-05,0.003903653255293071,-0.06839612871408463,-0.0033839371521025893,-0.0010264208540320396,0.0001118114305427298,0.0013440868351608515,0.003403826802968985,0.062472324818372726
0511000101,1015.14,-1584.507080078125,1.5725450452919176e-07,0.11795370280742645,-0.00013851697890426216,0.005412600556855207,-0.05850977450609207,-0.00615295935422182,-0.001675081322900951,0.00021534378174692392,0.0023760352632962167,0.005422404874116183,0.05944392830133438
0507020305,551.91,-2445.579833984375,0.004850374534726143,0.13145435601472855,-0.00039183475927653127,0.00771981645449021,-0.05882364511489868,-0.0087767431512475,-0.004026572220027447,-0.000252269470365718,0.0033865892328321934,0.007755385711789133,0.07263071089982986
0507020301,621.96,-1827.7445068359375,1.5724747015610774e-07,0.1617935225367546,-0.0002600673889007611,0.007016205562030562,-0.08195461332798004,-0.00764414444565773,-0.003585557220503688,-0.00023982494894880801,0.0030634826980531216,0.007053199596703057,0.07983890920877457
0507020304,437.26,-2147.9677734375,1.5724057789157087e-07,0.13886690884828568,-0.00043456471428003504,0.007989297225356837,-0.06880973279476166,-0.009502919018268585,-0.004074936266988516,-0.00017158989794552326,0.0034393443493172526,0.007946231961250305,0.07005717605352402
0507020401,269.16,-1136.0750732421875,-0.008548667654395103,0.13403478264808655,-0.00037331496014803706,0.007671953090021657,-0.0646904855966568,-0.009466136433184147,-0.0039391020545735955,-1.660901034483686e-05,0.0036596747813746333,0.007960393000394115,0.06934429705142975
0507020403,248.25,-948.1806640625,1.5723530566447153e-07,0.10485079884529114,-0.0003375150398951838,0.006758686658382639,-0.055576980113983154,-0.008093333058059217,-0.003363941563293338,4.593843550537713e-05,0.0033440394327044487,0.006821170635521412,0.04927381873130798
0507020202,418.12,-1120.297607421875,1.5725090918294882e-07,0.20211629569530487,-0.00023730779889648884,0.008096794864383873,-0.09658381342887878,-0.008628691919147969,-0.003631829866208136,-0.00039217021549120545,0.0029995961813256145,0.00836910046637058,0.10553248226642609
0507020404,377.31,-1316.7440185546875,-0.004394872114062309,0.12650903314352036,-0.000309707930876942,0.006316952191343509,-0.06876587122678757,-0.007695166766643524,-0.0034269160823896527,-2.9879241992603056e-05,0.0031776713440194726,0.00666317781433463,0.05774316191673279
0510010112,750.72,-1380.2054443359375,1.5721765578291524e-07,0.12771209329366684,-0.0001630331565201828,0.004488641198608302,-0.06730080395936966,-0.005744172027334571,-0.0016618656809441745,0.0004145590646658093,0.0021669777925126255,0.004388750065118074,0.06041128933429718
0510010109,249.93,-283.88153076171875,1.572228427448863e-07,0.08579608052968979,-0.00010054940267208871,0.003262227993015761,-0.04103334620594978,-0.0035471070790663362,-0.0010550069564487785,0.00018517227726988494,0.0014355543826241046,0.0030556421959772716,0.044762734323740005
0510010204,635.97,-864.623779296875,-0.005347192287445068,0.09455690905451775,-0.00012057072748430434,0.003339014829485233,-0.049470558762550354,-0.00374810928478837,-0.0012103676272090524,0.00010399200982647017,0.0013168967561796308,0.003131510340608657,0.04508635029196739
