huc10,areasqkm,sum,majority,range,mean,std,min,percentile_10,percentile_25,median,percentile_75,percentile_90,max
0514020501,443.71,13208225792.0,0.0,4127072.0,2642.2528765616094,71170.52882067146,0.0,0.0,1.0,2.0,7.0,32.0,4127072.0
0514020503,806.58,121448300544.0,0.0,19502304.0,13369.335515902852,397976.89339514746,0.0,0.0,1.0,2.0,7.0,32.0,19502304.0
0514020603,197.06,3374027520.0,0.0,2230471.0,1517.9586996229878,39647.49291127478,0.0,0.0,0.0,2.0,8.0,35.0,2230471.0
0514020606,272.83,6497222656.0,0.0,3126250.0,2111.457426359068,57516.30038311366,0.0,0.0,0.0,2.0,8.0,37.0,3126250.0
0514010201,421.18,20591065088.0,0.0,4009559.0,4331.692695027584,106169.08407352724,0.0,0.0,1.0,3.0,8.0,24.0,4009559.0
0514010304,619.24,24242964480.0,0.0,7035260.0,3473.4548855676685,113280.50513343334,0.0,0.0,1.0,3.0,8.0,23.0,7035260.0
0514010305,797.71,127034032128.0,0.0,15879574.0,14135.022300981298,398858.7558622125,0.0,0.0,1.0,3.0,7.0,24.0,15879574.0
0514020303,509.04,140455837696.0,0.0,46574840.0,24487.998536883286,972998.310285997,0.0,0.0,1.0,3.0,8.0,45.0,46574840.0
0514020407,506.28,12444674048.0,0.0,11814988.0,2182.5042314858465,93473.91100567317,0.0,0.0,1.0,3.0,9.0,37.0,11814988.0
0514020305,229.75,56990326784.0,0.0,52244784.0,21976.46991971057,1013413.6291665874,0.0,0.0,1.0,2.0,7.0,28.0,52244784.0
0514020307,290.13,111635120128.0,0.0,55876632.0,34149.08056769975,1340152.3166434416,0.0,0.0,1.0,3.0,8.0,29.0,55876632.0
0514020309,332.16,141039452160.0,0.0,59210052.0,37679.58977603212,1427013.211166994,0.0,0.0,1.0,2.0,8.0,41.0,59210052.0
0514010202,168.24,8369034240.0,0.0,5227329.0,4408.90619641336,134087.6012445187,0.0,0.0,1.0,3.0,6.0,17.0,5227329.0
0514010203,341.96,9932015616.0,0.0,4026673.0,2576.142400378899,65431.18542962637,0.0,0.0,1.0,3.0,6.0,23.0,4026673.0
0514010204,354.6,9510412288.0,0.0,2183489.0,2379.7132827534815,54214.72098489951,0.0,0.0,1.0,3.0,7.0,23.0,2183489.0
0514010206,149.0,2506287616.0,0.0,1676826.0,1490.832442168466,37773.27314853242,0.0,0.0,1.0,3.0,7.0,20.0,1676826.0
0514010207,263.62,5570622464.0,0.0,2956193.0,1874.452772769701,50831.436935935366,0.0,0.0,1.0,3.0,7.0,22.0,2956193.0
0514010208,445.12,17087776768.0,0.0,4911580.0,3406.5888627330896,96989.79105437083,0.0,0.0,1.0,2.0,7.0,24.0,4911580.0
0514010209,270.66,56873070592.0,0.0,15953948.0,18625.632422504917,463426.1266340245,0.0,0.0,1.0,3.0,7.0,23.0,15953948.0
0514010210,290.4,27525234688.0,0.0,8271956.0,8405.43974290109,229457.50446346423,0.0,0.0,1.0,3.0,8.0,30.0,8271956.0
0510010101,605.15,21727512576.0,0.0,5839606.0,3177.960503945042,97797.90260610617,0.0,0.0,1.0,3.0,8.0,21.0,5839606.0
0510010103,259.93,2527699200.0,0.0,2035359.0,860.5806478410406,21257.608856948835,0.0,0.0,1.0,3.0,8.0,18.0,2035359.0
0601020602,352.76,21777700864.0,0.0,5048494.0,5463.950643624994,142720.59140383432,0.0,0.0,1.0,3.0,8.0,31.0,5048494.0
0513010306,836.08,20252258304.0,0.0,6264308.0,2149.759917594295,70472.7789201417,0.0,0.0,1.0,3.0,9.0,37.0,6264308.0
0513010303,469.2,11488917504.0,0.0,5018209.0,2171.1096727230397,70005.42230249915,0.0,0.0,1.0,3.0,9.0,29.0,5018209.0
0513010305,612.44,15406881792.0,0.0,5868266.0,2232.1309055505976,63399.11143535417,0.0,0.0,1.0,5.0,15.0,42.0,5868266.0
0513010307,979.59,90963156992.0,0.0,15733366.0,8244.414570536286,291393.79382435797,0.0,0.0,1.0,3.0,7.0,21.0,15733366.0
0513010103,964.85,131806453760.0,0.0,28707246.0,12104.189539755678,521938.0436798979,0.0,0.0,2.0,5.0,12.0,29.0,28707246.0
0513010104,462.85,158989877248.0,0.0,33920148.0,30435.983451725362,975592.1687423243,0.0,0.0,1.0,4.0,10.0,28.0,33920148.0
0513010107,611.97,162461548544.0,0.0,50377144.0,23533.93753005814,971218.067886477,0.0,0.0,1.0,4.0,11.0,30.0,50377144.0
0513010108,749.32,30366705664.0,0.0,8436023.0,3592.430313132544,122322.84905824877,0.0,0.0,1.0,3.0,8.0,28.0,8436023.0
0513010109,538.09,191856459776.0,0.0,62485836.0,31604.75759975343,1285358.4894770368,0.0,0.0,1.0,3.0,8.0,20.0,62485836.0
0513010202,364.54,11141367808.0,0.0,4108062.0,2706.70670869888,82981.1686872273,0.0,0.0,1.0,3.0,8.0,20.0,4108062.0
0513010405,817.81,23328909312.0,0.0,6198155.0,2532.0036467766836,78369.08086764748,0.0,0.0,1.0,3.0,8.0,21.0,6198155.0
0513010205,468.37,89877528576.0,0.0,20921988.0,17008.311096392543,545735.8712694353,0.0,0.0,1.0,4.0,9.0,21.0,20921988.0
0513010301,762.36,45735702528.0,0.0,7860174.0,5320.345676748975,167039.95973337517,0.0,0.0,1.0,4.0,11.0,29.0,7860174.0
0513010302,494.99,343495737344.0,0.0,93249264.0,61495.68993900125,2270776.455526333,0.0,0.0,1.0,4.0,12.0,34.0,93249264.0
0513010406,305.49,13582331904.0,0.0,3369718.0,3940.4313433896687,94223.35832884122,0.0,0.0,2.0,6.0,14.0,32.0,3369718.0
0513010407,471.63,75564236800.0,0.0,16209190.0,14198.925031023175,425121.5021556656,0.0,0.0,2.0,5.0,13.0,32.0,16209190.0
0513020603,303.01,12290969600.0,0.0,3362879.0,3598.20648387229,86835.51537773333,0.0,0.0,1.0,3.0,9.0,34.0,3362879.0
0513020606,697.67,31364175872.0,0.0,10910803.0,3991.4297332104843,140283.96101341644,0.0,0.0,1.0,3.0,10.0,44.0,10910803.0
0513010106,654.24,33270417408.0,0.0,7225341.0,4508.829362667958,138730.16675976716,0.0,0.0,1.0,3.0,10.0,34.0,7225341.0
0513020505,696.48,42551103488.0,0.0,7719261.0,5422.613033763078,159281.60197737993,0.0,0.0,1.0,3.0,8.0,35.0,7719261.0
0513020506,860.21,65696702464.0,0.0,31791768.0,6781.909423621286,250396.45566967694,0.0,0.0,1.0,3.0,9.0,38.0,31791768.0
0513020508,787.79,179580289024.0,0.0,48476424.0,20235.924152930515,925128.8733826766,0.0,0.0,1.0,2.0,7.0,33.0,48476424.0
0513010201,223.76,5335147008.0,0.0,2519865.0,2110.7193133210217,56294.56164594014,0.0,0.0,1.0,4.0,9.0,20.0,2519865.0
0513010203,372.92,9759065088.0,0.0,3790879.0,2319.3965492819166,70096.18841685262,0.0,0.0,1.0,4.0,11.0,27.0,3790879.0
0513010204,547.92,44473745408.0,0.0,14126958.0,7190.728962098333,261084.02731481075,0.0,0.0,1.0,4.0,10.0,22.0,14126958.0
0513010503,335.57,7176504320.0,0.0,7851442.0,1898.2709173379099,66272.1787898082,0.0,0.0,1.0,3.0,9.0,54.0,7851442.0
0513010504,751.49,26371024896.0,0.0,7880365.0,3114.5440241462857,99922.85174026467,0.0,0.0,1.0,3.0,10.0,37.0,7880365.0
0513010505,295.75,42360070144.0,0.0,14236793.0,12707.812635072785,396018.00828467996,0.0,0.0,1.0,3.0,13.0,89.0,14236793.0
0513020504,1195.58,51792048128.0,0.0,12441133.0,3848.559854962811,160325.27145559198,0.0,0.0,1.0,2.0,7.0,33.0,12441133.0
0513020604,467.35,16340249600.0,0.0,5106938.0,3104.408477679473,94867.23022853916,0.0,0.0,0.0,2.0,8.0,39.0,5106938.0
0513020607,726.04,170129522688.0,0.0,31758140.0,20809.922382796005,604262.599646232,0.0,0.0,1.0,3.0,9.0,37.0,31758140.0
0513020602,699.51,34731995136.0,0.0,11111447.0,4409.286662832725,141594.34688274618,0.0,0.0,1.0,3.0,9.0,37.0,11111447.0
0511000105,350.92,15824740352.0,0.0,3943798.0,4000.4197291551327,99589.79257002045,0.0,0.0,1.0,3.0,8.0,26.0,3943798.0
0510020509,579.26,65774456832.0,0.0,14267468.0,10067.054072044122,307733.72835890146,0.0,0.0,1.0,3.0,9.0,30.0,14267468.0
0510020506,259.11,11248626688.0,0.0,3026319.0,3844.9258686406133,87416.528914935,0.0,0.0,1.0,3.0,8.0,28.0,3026319.0
0510020508,714.57,52869574656.0,0.0,8044075.0,6561.563481124214,183635.88179008095,0.0,0.0,1.0,3.0,8.0,26.0,8044075.0
0510020510,277.18,7057790464.0,0.0,5040379.0,2257.9272022402065,57029.707574371394,0.0,0.0,1.0,2.0,6.0,19.0,5040379.0
0511000102,313.32,2847216128.0,0.0,1923289.0,806.0315367394521,23225.62448479841,0.0,0.0,1.0,3.0,9.0,28.0,1923289.0
0511000103,439.54,12094584832.0,0.0,11875683.0,2440.415070842062,133928.01066323486,0.0,0.0,1.0,3.0,9.0,31.0,11875683.0
0511000104,749.35,47991939072.0,0.0,8228704.0,5684.44975198015,172006.67297447732,0.0,0.0,1.0,3.0,8.0,24.0,8228704.0
0511000107,598.93,71132127232.0,0.0,17792188.0,10536.037225329517,363907.7046026814,0.0,0.0,1.0,3.0,8.0,28.0,17792188.0
0511000405,664.76,120276279296.0,0.0,17709054.0,16066.517452707636,463061.3773862357,0.0,0.0,0.0,2.0,7.0,36.0,17709054.0
0509010306,414.37,185021956096.0,0.0,107485960.0,39563.12865215221,1914426.9588263095,0.0,0.0,1.0,3.0,8.0,25.0,107485960.0
0509020108,314.61,183497261056.0,0.0,128961928.0,51732.051897466954,2539526.1890016366,0.0,0.0,1.0,2.0,7.0,27.0,128961928.0
0507020106,726.34,124806660096.0,0.0,22378048.0,15203.8189877282,508479.87767304096,0.0,0.0,1.0,4.0,9.0,25.0,22378048.0
0507020302,691.97,123424833536.0,0.0,27265080.0,15776.32515698695,537941.655685794,0.0,0.0,1.0,4.0,9.0,30.0,27265080.0
0507020206,298.35,7648788992.0,0.0,3025115.0,2266.5086453585072,63301.0128510936,0.0,0.0,1.0,4.0,10.0,29.0,3025115.0
0511000505,412.52,643969777664.0,0.0,159530496.0,138542.34940643434,4652717.038442143,0.0,0.0,0.0,2.0,9.0,55.0,159530496.0
0514010413,620.43,16709377024.0,0.0,4806643.0,2390.995929717839,73090.57342402931,0.0,0.0,1.0,3.0,9.0,32.0,4806643.0
0513010304,720.2,14901805056.0,0.0,6681607.0,1835.5812853991777,54567.221367898295,0.0,0.0,1.0,4.0,14.0,67.0,6681607.0
0801010002,214.28,5167970304.0,0.0,2084822.0,2138.705580737634,44309.758327942225,0.0,0.0,1.0,5.0,35.0,138.0,2084822.0
0513020601,313.53,7325285888.0,0.0,2686566.0,2073.274703129971,55304.43441767188,0.0,0.0,1.0,3.0,8.0,32.0,2686566.0
0513020507,952.63,185393414144.0,0.0,40431800.0,17276.417983395786,747924.8622957611,0.0,0.0,1.0,3.0,11.0,121.0,40431800.0
0509020310,683.89,44112117760.0,0.0,11092942.0,5722.539035221827,207957.89312022767,0.0,0.0,1.0,3.0,7.0,27.0,11092942.0
0509010401,302.6,2218793472.0,0.0,1004094.0,648.7933548487271,14578.290263977564,0.0,0.0,1.0,4.0,8.0,19.0,1004094.0
0510020512,252.33,5282255360.0,0.0,2839713.0,1856.5164760507948,51278.95040425355,0.0,0.0,1.0,3.0,7.0,21.0,2839713.0
0510020502,325.62,8696236032.0,0.0,2419432.0,2365.7221260561605,56426.3724725074,0.0,0.0,1.0,3.0,8.0,23.0,2419432.0
0510020503,862.82,618403004416.0,0.0,113094784.0,63532.46868529215,2563327.039068138,0.0,0.0,1.0,3.0,8.0,20.0,113094784.0
